Participant_ID,Age,Sports_Experience,Correct,Number_Shown,User Input,Color
Maciek,20,yes,True,1,1,"(161, 200, 127)"
Maciek,20,yes,False,5,3,"(110, 123, 76)"
Maciek,20,yes,True,4,4,"(84, 200, 50)"
Maciek,20,yes,True,2,2,"(84, 149, 50)"
Maciek,20,yes,True,4,4,"(84, 123, 127)"
Maciek,20,yes,True,3,3,"(84, 123, 76)"
Maciek,20,yes,True,1,1,"(84, 123, 127)"
Maciek,20,yes,True,4,4,"(84, 123, 76)"
Maciek,20,yes,True,2,2,"(135, 123, 50)"
Maciek,20,yes,True,1,1,"(84, 174, 50)"
Maciek,20,yes,True,1,1,"(110, 149, 76)"
Maciek,20,yes,True,5,5,"(161, 123, 50)"
Maciek,20,yes,True,3,3,"(84, 123, 127)"
Maciek,20,yes,True,1,1,"(110, 123, 50)"
Maciek,20,yes,True,4,4,"(84, 149, 50)"
Maciek,20,yes,True,3,3,"(84, 149, 50)"
Maciek,20,yes,True,4,4,"(84, 174, 50)"
Maciek,20,yes,True,3,3,"(161, 123, 127)"
Maciek,20,yes,True,5,5,"(110, 123, 50)"
Maciek,20,yes,True,2,2,"(161, 123, 50)"
Maciek,20,yes,True,4,4,"(161, 200, 127)"
Maciek,20,yes,True,3,3,"(84, 174, 50)"
Maciek,20,yes,True,1,1,"(135, 123, 50)"
Maciek,20,yes,True,5,5,"(135, 174, 101)"
Maciek,20,yes,True,4,4,"(84, 149, 50)"
Maciek,20,yes,True,2,2,"(84, 123, 76)"
Maciek,20,yes,True,4,4,"(84, 123, 101)"
Maciek,20,yes,True,3,3,"(135, 123, 101)"
Maciek,20,yes,True,1,1,"(135, 123, 101)"
Maciek,20,yes,True,2,2,"(84, 123, 101)"
Maciek,20,yes,True,4,4,"(84, 200, 50)"
Maciek,20,yes,True,5,5,"(135, 123, 50)"
Maciek,20,yes,False,3,4,"(135, 123, 50)"
Maciek,20,yes,True,2,2,"(110, 149, 76)"
Maciek,20,yes,True,5,5,"(84, 123, 76)"
Maciek,20,yes,True,5,5,"(135, 174, 101)"
Maciek,20,yes,True,5,5,"(161, 200, 127)"
Maciek,20,yes,True,5,5,"(161, 123, 127)"
Maciek,20,yes,True,3,3,"(161, 123, 50)"
Maciek,20,yes,True,2,2,"(161, 123, 127)"
Maciek,20,yes,True,4,4,"(84, 123, 127)"
Maciek,20,yes,True,2,2,"(161, 123, 127)"
Maciek,20,yes,True,1,1,"(161, 123, 50)"
Maciek,20,yes,True,2,2,"(84, 200, 50)"
Maciek,20,yes,True,2,2,"(135, 123, 101)"
Maciek,20,yes,True,3,3,"(84, 123, 101)"
Maciek,20,yes,True,3,3,"(110, 123, 50)"
Maciek,20,yes,True,1,1,"(84, 174, 50)"
Maciek,20,yes,True,2,2,"(135, 123, 101)"
Maciek,20,yes,True,4,4,"(135, 174, 101)"
Maciek,20,yes,True,1,1,"(84, 123, 101)"
Maciek,20,yes,True,4,4,"(84, 200, 50)"
Maciek,20,yes,True,3,3,"(110, 123, 76)"
Maciek,20,yes,True,1,1,"(110, 123, 76)"
Maciek,20,yes,True,3,3,"(110, 149, 76)"
Maciek,20,yes,True,4,4,"(110, 149, 76)"
Maciek,20,yes,True,2,2,"(161, 200, 127)"
Maciek,20,yes,True,3,3,"(110, 123, 50)"
Maciek,20,yes,True,2,2,"(110, 123, 76)"
Maciek,20,yes,True,5,5,"(135, 174, 101)"
